questions,queries,answers
how high is the total population at the vicinity of a railway station in the canton of zurich in 2003?,SELECT T1.access_by_suburban_train FROM accessibility_train AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T2.type_id = 8 AND T1.year = 2003,4.7
how high is the total share of the people living in the vicinity of a railway station in the canton of zurich in 2003?,SELECT T1.access_by_suburban_train FROM accessibility_train AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T2.type_id = 8 AND T1.year = 2003,4.7
which region had the lowest share of people in the proximity of a train station in 2003?,SELECT T2.name         FROM accessibility_train AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T2.type_id = 4 AND T1.year = 2003         ORDER BY T1.access_by_suburban_train         LIMIT 1,0.1
which region had the lowest percentage of people living within the vicinity of a train station in 2003?,SELECT T2.name         FROM accessibility_train AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T2.type_id = 4 AND T1.year = 2003         ORDER BY T1.access_by_suburban_train         LIMIT 1,0.1
"in 2003, which region had the lowest share of people living in close proximity of a train station?",SELECT T2.name         FROM accessibility_train AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T2.type_id = 4 AND T1.year = 2003         ORDER BY T1.access_by_suburban_train         LIMIT 1,0.1
"in 2003, which region had the lowest share of people living in close proximity to a railway station?",SELECT T2.name         FROM accessibility_train AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T2.type_id = 4 AND T1.year = 2003         ORDER BY T1.access_by_suburban_train         LIMIT 1,0.1
"in 2003, which region had the lowest percentage of people living within proximity of a railway station?",SELECT T2.name         FROM accessibility_train AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T2.type_id = 4 AND T1.year = 2003         ORDER BY T1.access_by_suburban_train         LIMIT 1,0.1
which region had the lowest share of people living in the area of a station in 2003?,SELECT T2.name         FROM accessibility_train AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T2.type_id = 4 AND T1.year = 2003         ORDER BY T1.access_by_suburban_train         LIMIT 1,0.1
which region had the lowest proportion of people living in proximity of a train station in 2003?,SELECT T2.name         FROM accessibility_train AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T2.type_id = 4 AND T1.year = 2003         ORDER BY T1.access_by_suburban_train         LIMIT 1,0.1
which region had the lowest number of people living in proximity of a railway station in 2003?,SELECT T2.name         FROM accessibility_train AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T2.type_id = 4 AND T1.year = 2003         ORDER BY T1.access_by_suburban_train         LIMIT 1,0.1
how many cars per capita in obfelden is in 2007?,SELECT T1.passenger_cars_per_1000_inhabitants         FROM number_of_passenger_cars AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T2.name LIKE 'Obfelden' AND T1.year = 2007,548.8
how high in the year 2007 is the number of cars per capita in obfelden?,SELECT T1.passenger_cars_per_1000_inhabitants         FROM number_of_passenger_cars AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T2.name LIKE 'Obfelden' AND T1.year = 2007,548.8
in 2007 how high is the number of cars per capita in obfelden?,SELECT T1.passenger_cars_per_1000_inhabitants         FROM number_of_passenger_cars AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T2.name LIKE 'Obfelden' AND T1.year = 2007,548.8
how much cars per person in obfelden is in 2007?,SELECT T1.passenger_cars_per_1000_inhabitants         FROM number_of_passenger_cars AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T2.name LIKE 'Obfelden' AND T1.year = 2007,548.8
how much is the number of cars per capita in obfelden in the year 2007?,SELECT T1.passenger_cars_per_1000_inhabitants         FROM number_of_passenger_cars AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T2.name LIKE 'Obfelden' AND T1.year = 2007,548.8
the number of vehicles per capita in obfelden is in the year 2007.,SELECT T1.passenger_cars_per_1000_inhabitants         FROM number_of_passenger_cars AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T2.name LIKE 'Obfelden' AND T1.year = 2007,548.8
"in 2007, how high is the number of cars per capita in obfelden?",SELECT T1.passenger_cars_per_1000_inhabitants         FROM number_of_passenger_cars AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T2.name LIKE 'Obfelden' AND T1.year = 2007,548.8
which municipality has the most cars per capita?,SELECT T2.name         FROM spatialunit AS T2         JOIN number_of_passenger_cars AS T1 ON T2.spatialunit_id = T1.spatialunit_id         ORDER BY T1.passenger_cars_per_1000_inhabitants DESC LIMIT 1,757.1
which township has the minimum number of cars per capita?,SELECT T2.name         FROM spatialunit AS T2         JOIN number_of_passenger_cars AS T1 ON T2.spatialunit_id = T1.spatialunit_id         ORDER BY T1.passenger_cars_per_1000_inhabitants ASC LIMIT 1,191.8
"what is the highest, lowest and average number of cars per capita?","SELECT MAX(T1.passenger_cars_per_1000_inhabitants::numeric),         MIN(T1.passenger_cars_per_1000_inhabitants::numeric), AVG(T1.passenger_cars_per_1000_inhabitants::numeric)         FROM number_of_passenger_cars AS T1","[757.1, 191.8, 562.85]"
"which are the highest, lowest and average number of cars per capita?","SELECT MAX(T1.passenger_cars_per_1000_inhabitants::numeric),         MIN(T1.passenger_cars_per_1000_inhabitants::numeric), AVG(T1.passenger_cars_per_1000_inhabitants::numeric)         FROM number_of_passenger_cars AS T1","[757.1, 191.8, 562.85]"
how many municipalities have a number of cars per capita more than 548.8 per year?,"SELECT T1.year, COUNT(*)         FROM number_of_passenger_cars AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T1.passenger_cars_per_1000_inhabitants::numeric > 548.8 AND T2.type_id = 1         GROUP BY T1.year",114
how many municipalities have a number of cars per capita that are more than 548.8 per year?,"SELECT T1.year, COUNT(*)         FROM number_of_passenger_cars AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T1.passenger_cars_per_1000_inhabitants::numeric > 548.8 AND T2.type_id = 1         GROUP BY T1.year",114
how many municipalities have a number of cars per capita that is greater than 548.8 per year?,"SELECT T1.year, COUNT(*)         FROM number_of_passenger_cars AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T1.passenger_cars_per_1000_inhabitants::numeric > 548.8 AND T2.type_id = 1         GROUP BY T1.year",114
"how many municipalities have more cars per capita than 548,8 per year?","SELECT T1.year, COUNT(*)         FROM number_of_passenger_cars AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T1.passenger_cars_per_1000_inhabitants::numeric > 548.8 AND T2.type_id = 1         GROUP BY T1.year",114
"how many municipalities have a number of cars per capita higher than 548,8 per year?","SELECT T1.year, COUNT(*)         FROM number_of_passenger_cars AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T1.passenger_cars_per_1000_inhabitants::numeric > 548.8 AND T2.type_id = 1         GROUP BY T1.year",114
the total number of cars per capita in canton zurich in 2007 is how high?,SELECT T1.passenger_cars_per_1000_inhabitants FROM number_of_passenger_cars AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T2.type_id = 8 AND T1.year = 2007,489.5
how high is the total number of vehicles per capita in the canton zürich in the year 2007?,SELECT T1.passenger_cars_per_1000_inhabitants FROM number_of_passenger_cars AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T2.type_id = 8 AND T1.year = 2007,489.5
how high is the total number of cars per capita in the canton of zurich in 2007?,SELECT T1.passenger_cars_per_1000_inhabitants FROM number_of_passenger_cars AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T2.type_id = 8 AND T1.year = 2007,489.5
in 2007 how much is the total number of cars per capita in the canton of zurich?,SELECT T1.passenger_cars_per_1000_inhabitants FROM number_of_passenger_cars AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T2.type_id = 8 AND T1.year = 2007,489.5
how high is the total number of vehicles per capita in zurich in 2007?,SELECT T1.passenger_cars_per_1000_inhabitants FROM number_of_passenger_cars AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T2.type_id = 8 AND T1.year = 2007,489.5
how high is the total number of cars per capita in zurich's canton in 2007?,SELECT T1.passenger_cars_per_1000_inhabitants FROM number_of_passenger_cars AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T2.type_id = 8 AND T1.year = 2007,489.5
how high is the total number of cars per capita in the canton of zurich in the year 2007?,SELECT T1.passenger_cars_per_1000_inhabitants FROM number_of_passenger_cars AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T2.type_id = 8 AND T1.year = 2007,489.5
in 2007 which region had the lowest number of cars per capita?,SELECT T2.name         FROM number_of_passenger_cars AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T2.type_id = 4 AND T1.year = 2007         ORDER BY T1.passenger_cars_per_1000_inhabitants         LIMIT 1,379.2
in which region was the lowest number of cars per capita in 2007?,SELECT T2.name         FROM number_of_passenger_cars AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T2.type_id = 4 AND T1.year = 2007         ORDER BY T1.passenger_cars_per_1000_inhabitants         LIMIT 1,379.2
which region had the lowest number of cars per capita in 2007?,SELECT T2.name         FROM number_of_passenger_cars AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T2.type_id = 4 AND T1.year = 2007         ORDER BY T1.passenger_cars_per_1000_inhabitants         LIMIT 1,379.2
which region had the lowest number of vehicles per capita in 2007?,SELECT T2.name         FROM number_of_passenger_cars AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T2.type_id = 4 AND T1.year = 2007         ORDER BY T1.passenger_cars_per_1000_inhabitants         LIMIT 1,379.2
which region has the lowest number of cars per capita in 2007?,SELECT T2.name         FROM number_of_passenger_cars AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T2.type_id = 4 AND T1.year = 2007         ORDER BY T1.passenger_cars_per_1000_inhabitants         LIMIT 1,379.2
which is the share of people living in the proximity to a railway station or bus stop in hinwil in the year 2013?,SELECT T1.access_by_suburban_train_and_bus         FROM accessibility_train_and_bus AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T2.name LIKE 'Hinwil' AND T1.year = 2013,49.9
which year is the share of people living in the proximity of a railway station or bus stop in hinwil in 2013?,SELECT T1.access_by_suburban_train_and_bus         FROM accessibility_train_and_bus AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T2.name LIKE 'Hinwil' AND T1.year = 2013,49.9
in 2013 how high is the proportion of people living in the vicinity of a train station or bus stop in hinwil?,SELECT T1.access_by_suburban_train_and_bus         FROM accessibility_train_and_bus AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T2.name LIKE 'Hinwil' AND T1.year = 2013,49.9
how much people live in the direction of a railway station or bus stop in hinwil in 2013?,SELECT T1.access_by_suburban_train_and_bus         FROM accessibility_train_and_bus AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T2.name LIKE 'Hinwil' AND T1.year = 2013,49.9
how high is the proportion of people living in the year 2013 near a train station or bus stop in hinwil?,SELECT T1.access_by_suburban_train_and_bus         FROM accessibility_train_and_bus AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T2.name LIKE 'Hinwil' AND T1.year = 2013,49.9
in 2013 how high is the share of people living in the vicinity of a station or bus stop in hinwil?,SELECT T1.access_by_suburban_train_and_bus         FROM accessibility_train_and_bus AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T2.name LIKE 'Hinwil' AND T1.year = 2013,49.9
how much is the share of people living near a train station or bus stop in hinwil in 2013?,SELECT T1.access_by_suburban_train_and_bus         FROM accessibility_train_and_bus AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T2.name LIKE 'Hinwil' AND T1.year = 2013,49.9
how high is the percentage of people living in the vicinity of a railway station or bus station in hinwil in 2013?,SELECT T1.access_by_suburban_train_and_bus         FROM accessibility_train_and_bus AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T2.name LIKE 'Hinwil' AND T1.year = 2013,49.9
which municipality has the highest share of people living close to a railway station or bus stop?,SELECT T2.name         FROM spatialunit AS T2         JOIN accessibility_train_and_bus AS T1 ON T2.spatialunit_id = T1.spatialunit_id         ORDER BY T1.access_by_suburban_train_and_bus DESC LIMIT 1,81.8
which municipality has the highest number of people living near a railway station or bus stop?,SELECT T2.name         FROM spatialunit AS T2         JOIN accessibility_train_and_bus AS T1 ON T2.spatialunit_id = T1.spatialunit_id         ORDER BY T1.access_by_suburban_train_and_bus DESC LIMIT 1,81.8
which municipality has the highest proportion of people living in the proximity of a train station or bus stop?,SELECT T2.name         FROM spatialunit AS T2         JOIN accessibility_train_and_bus AS T1 ON T2.spatialunit_id = T1.spatialunit_id         ORDER BY T1.access_by_suburban_train_and_bus DESC LIMIT 1,81.8
which municipality has the highest number of people living in the vicinity of a train station or bus stop?,SELECT T2.name         FROM spatialunit AS T2         JOIN accessibility_train_and_bus AS T1 ON T2.spatialunit_id = T1.spatialunit_id         ORDER BY T1.access_by_suburban_train_and_bus DESC LIMIT 1,81.8
which municipality has the highest number of people living in proximity of a railway station or bus stop?,SELECT T2.name         FROM spatialunit AS T2         JOIN accessibility_train_and_bus AS T1 ON T2.spatialunit_id = T1.spatialunit_id         ORDER BY T1.access_by_suburban_train_and_bus DESC LIMIT 1,81.8
which municipality has the highest percentage of people living in close proximity of a railway station or bus stop?,SELECT T2.name         FROM spatialunit AS T2         JOIN accessibility_train_and_bus AS T1 ON T2.spatialunit_id = T1.spatialunit_id         ORDER BY T1.access_by_suburban_train_and_bus DESC LIMIT 1,81.8
which city has the highest percentage of people living in the vicinity of a railway station or bus stop?,SELECT T2.name         FROM spatialunit AS T2         JOIN accessibility_train_and_bus AS T1 ON T2.spatialunit_id = T1.spatialunit_id         ORDER BY T1.access_by_suburban_train_and_bus DESC LIMIT 1,81.8
which municipality has the highest share of the population living in the proximity of a railway station or bus station?,SELECT T2.name         FROM spatialunit AS T2         JOIN accessibility_train_and_bus AS T1 ON T2.spatialunit_id = T1.spatialunit_id         ORDER BY T1.access_by_suburban_train_and_bus DESC LIMIT 1,81.8
which community has the minimum share of people living near a railway station or bus stop?,SELECT T2.name         FROM spatialunit AS T2         JOIN accessibility_train_and_bus AS T1 ON T2.spatialunit_id = T1.spatialunit_id         ORDER BY T1.access_by_suburban_train_and_bus ASC LIMIT 1,0.0
which municipality has the minimum number of people living near a railway station or bus stop?,SELECT T2.name         FROM spatialunit AS T2         JOIN accessibility_train_and_bus AS T1 ON T2.spatialunit_id = T1.spatialunit_id         ORDER BY T1.access_by_suburban_train_and_bus ASC LIMIT 1,0.0
which municipality has the minimum population of people living close to a railway station or bus stop?,SELECT T2.name         FROM spatialunit AS T2         JOIN accessibility_train_and_bus AS T1 ON T2.spatialunit_id = T1.spatialunit_id         ORDER BY T1.access_by_suburban_train_and_bus ASC LIMIT 1,0.0
which municipality has the minimum number of people living in proximity of a stop train or bus station?,SELECT T2.name         FROM spatialunit AS T2         JOIN accessibility_train_and_bus AS T1 ON T2.spatialunit_id = T1.spatialunit_id         ORDER BY T1.access_by_suburban_train_and_bus ASC LIMIT 1,0.0
which municipality has the minimal proportion of people living in proximity to a train station or bus stop?,SELECT T2.name         FROM spatialunit AS T2         JOIN accessibility_train_and_bus AS T1 ON T2.spatialunit_id = T1.spatialunit_id         ORDER BY T1.access_by_suburban_train_and_bus ASC LIMIT 1,0.0
which community has the minimum number of people living in proximity to a railway station or bus stop?,SELECT T2.name         FROM spatialunit AS T2         JOIN accessibility_train_and_bus AS T1 ON T2.spatialunit_id = T1.spatialunit_id         ORDER BY T1.access_by_suburban_train_and_bus ASC LIMIT 1,0.0
which municipality has the minimum population of people living near a railway station or bus stop?,SELECT T2.name         FROM spatialunit AS T2         JOIN accessibility_train_and_bus AS T1 ON T2.spatialunit_id = T1.spatialunit_id         ORDER BY T1.access_by_suburban_train_and_bus ASC LIMIT 1,0.0
which municipality has the minimum population in proximity of a station or bus stop?,SELECT T2.name         FROM spatialunit AS T2         JOIN accessibility_train_and_bus AS T1 ON T2.spatialunit_id = T1.spatialunit_id         ORDER BY T1.access_by_suburban_train_and_bus ASC LIMIT 1,0.0
"what are the highest, lowest and average share of people living in proximity to a railway station or bus stop?","SELECT MAX(T1.access_by_suburban_train_and_bus::numeric),         MIN(T1.access_by_suburban_train_and_bus::numeric), AVG(T1.access_by_suburban_train_and_bus::numeric)         FROM accessibility_train_and_bus AS T1","[81.8, 0.0, 27.63]"
"what is the highest, lowest and most common share of the population living in proximity to a train station or bus stop?","SELECT MAX(T1.access_by_suburban_train_and_bus::numeric),         MIN(T1.access_by_suburban_train_and_bus::numeric), AVG(T1.access_by_suburban_train_and_bus::numeric)         FROM accessibility_train_and_bus AS T1","[81.8, 0.0, 27.63]"
"what are the highest, lowest and average share of people in proximity of a station or bus stop?","SELECT MAX(T1.access_by_suburban_train_and_bus::numeric),         MIN(T1.access_by_suburban_train_and_bus::numeric), AVG(T1.access_by_suburban_train_and_bus::numeric)         FROM accessibility_train_and_bus AS T1","[81.8, 0.0, 27.63]"
"what is the highest, lowest and average share of people living close to a metro station or bus stop?","SELECT MAX(T1.access_by_suburban_train_and_bus::numeric),         MIN(T1.access_by_suburban_train_and_bus::numeric), AVG(T1.access_by_suburban_train_and_bus::numeric)         FROM accessibility_train_and_bus AS T1","[81.8, 0.0, 27.63]"
"what are the highest, lowest and average share of people living in proximity to a rail station or bus stop?","SELECT MAX(T1.access_by_suburban_train_and_bus::numeric),         MIN(T1.access_by_suburban_train_and_bus::numeric), AVG(T1.access_by_suburban_train_and_bus::numeric)         FROM accessibility_train_and_bus AS T1","[81.8, 0.0, 27.63]"
"what are the highest, lowest and average number of people living in proximity to a train station or bus stop?","SELECT MAX(T1.access_by_suburban_train_and_bus::numeric),         MIN(T1.access_by_suburban_train_and_bus::numeric), AVG(T1.access_by_suburban_train_and_bus::numeric)         FROM accessibility_train_and_bus AS T1","[81.8, 0.0, 27.63]"
"what is the highest, lowest and average share of people living in the vicinity of a train station or bus stop?","SELECT MAX(T1.access_by_suburban_train_and_bus::numeric),         MIN(T1.access_by_suburban_train_and_bus::numeric), AVG(T1.access_by_suburban_train_and_bus::numeric)         FROM accessibility_train_and_bus AS T1","[81.8, 0.0, 27.63]"
"what is the highest, lowest and average number of people living in close proximity to a station or bus stop?","SELECT MAX(T1.access_by_suburban_train_and_bus::numeric),         MIN(T1.access_by_suburban_train_and_bus::numeric), AVG(T1.access_by_suburban_train_and_bus::numeric)         FROM accessibility_train_and_bus AS T1","[81.8, 0.0, 27.63]"
how many municipalities have a share of people living in proximity of a bus or train station with a population higher than 49.9 per year?,"SELECT T1.year, COUNT(*)         FROM accessibility_train_and_bus AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T1.access_by_suburban_train_and_bus::numeric > 49.9 AND T2.type_id = 1         GROUP BY T1.year",47
how many municipalities have a share of people living in the proximity of a rail station or bus stop higher than 49.9 per year?,"SELECT T1.year, COUNT(*)         FROM accessibility_train_and_bus AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T1.access_by_suburban_train_and_bus::numeric > 49.9 AND T2.type_id = 1         GROUP BY T1.year",47
how many municipalities have a share of people living in proximity of a railway station or bus stop higher than 49.9 per year?,"SELECT T1.year, COUNT(*)         FROM accessibility_train_and_bus AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T1.access_by_suburban_train_and_bus::numeric > 49.9 AND T2.type_id = 1         GROUP BY T1.year",47
"how many municipalities have a greater share of people who live in proximity of a bus station or train station than 49,9 per year?","SELECT T1.year, COUNT(*)         FROM accessibility_train_and_bus AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T1.access_by_suburban_train_and_bus::numeric > 49.9 AND T2.type_id = 1         GROUP BY T1.year",47
how many towns have a proportion of people living in proximity of a railway station or bus stop higher than 49.9 per year?,"SELECT T1.year, COUNT(*)         FROM accessibility_train_and_bus AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T1.access_by_suburban_train_and_bus::numeric > 49.9 AND T2.type_id = 1         GROUP BY T1.year",47
how many municipalities have a share of people living in near-by rail stations or bus stops higher than 49.9 per year?,"SELECT T1.year, COUNT(*)         FROM accessibility_train_and_bus AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T1.access_by_suburban_train_and_bus::numeric > 49.9 AND T2.type_id = 1         GROUP BY T1.year",47
how many municipalities have a percentage of people living in proximity of a station or bus stop above 49.9 per year?,"SELECT T1.year, COUNT(*)         FROM accessibility_train_and_bus AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T1.access_by_suburban_train_and_bus::numeric > 49.9 AND T2.type_id = 1         GROUP BY T1.year",47
how many municipalities have more people living in the vicinity of a railway station or bus stop per year than 49.9?,"SELECT T1.year, COUNT(*)         FROM accessibility_train_and_bus AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T1.access_by_suburban_train_and_bus::numeric > 49.9 AND T2.type_id = 1         GROUP BY T1.year",47
how high is the share of people in 2013 living in the proximity of a train station or bus stop in the canton of zurich?,SELECT T1.access_by_suburban_train_and_bus FROM accessibility_train_and_bus AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T2.type_id = 8 AND T1.year = 2013,43.7
how high in 2013 is the total population living in proximity to a train station or bus stop in the canton of zurich?,SELECT T1.access_by_suburban_train_and_bus FROM accessibility_train_and_bus AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T2.type_id = 8 AND T1.year = 2013,43.7
how high is the total proportion of people living in close proximity to a train station or bus station in canton zurich in 2013?,SELECT T1.access_by_suburban_train_and_bus FROM accessibility_train_and_bus AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T2.type_id = 8 AND T1.year = 2013,43.7
how high is the total share of people living in the vicinity of a railway station or bus stop in the canton of zurich in 2013?,SELECT T1.access_by_suburban_train_and_bus FROM accessibility_train_and_bus AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T2.type_id = 8 AND T1.year = 2013,43.7
"in 2013, how much is the total population of people living in proximity to a railway station or bus station in the canton zurich?",SELECT T1.access_by_suburban_train_and_bus FROM accessibility_train_and_bus AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T2.type_id = 8 AND T1.year = 2013,43.7
"in 2013, how much is the overall share of people living in the vicinity of a train station or bus station in the canton of zurich?",SELECT T1.access_by_suburban_train_and_bus FROM accessibility_train_and_bus AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T2.type_id = 8 AND T1.year = 2013,43.7
how high is the total proportion of people living in the vicinity of a train station or bus stop in the canton of zurich in 2013?,SELECT T1.access_by_suburban_train_and_bus FROM accessibility_train_and_bus AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T2.type_id = 8 AND T1.year = 2013,43.7
in 2013 what is the total number of people living near a station or bus stop in the canton of zurich?,SELECT T1.access_by_suburban_train_and_bus FROM accessibility_train_and_bus AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T2.type_id = 8 AND T1.year = 2013,43.7
which region had the lowest share of people in 2013 living in proximity of a train station or bus stop?,SELECT T2.name         FROM accessibility_train_and_bus AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T2.type_id = 4 AND T1.year = 2013         ORDER BY T1.access_by_suburban_train_and_bus         LIMIT 1,27.5
which region had the lowest share of people living in the proximity of a ferries or bus stops in 2013?,SELECT T2.name         FROM accessibility_train_and_bus AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T2.type_id = 4 AND T1.year = 2013         ORDER BY T1.access_by_suburban_train_and_bus         LIMIT 1,27.5
which region had the lowest share of people living in near a train station or bus stop in 2013?,SELECT T2.name         FROM accessibility_train_and_bus AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T2.type_id = 4 AND T1.year = 2013         ORDER BY T1.access_by_suburban_train_and_bus         LIMIT 1,27.5
which region had the lowest population of people living in the proximity of a station or bus stop in 2013?,SELECT T2.name         FROM accessibility_train_and_bus AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T2.type_id = 4 AND T1.year = 2013         ORDER BY T1.access_by_suburban_train_and_bus         LIMIT 1,27.5
which region had the lowest share of people living in the vicinity of a station or bus stop in 2013?,SELECT T2.name         FROM accessibility_train_and_bus AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T2.type_id = 4 AND T1.year = 2013         ORDER BY T1.access_by_suburban_train_and_bus         LIMIT 1,27.5
which region had the lowest proportion of people living near a train station or bus stop in 2013?,SELECT T2.name         FROM accessibility_train_and_bus AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T2.type_id = 4 AND T1.year = 2013         ORDER BY T1.access_by_suburban_train_and_bus         LIMIT 1,27.5
which region had the lowest percentage of people living in the vicinity of a train station or bus stop in 2013?,SELECT T2.name         FROM accessibility_train_and_bus AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T2.type_id = 4 AND T1.year = 2013         ORDER BY T1.access_by_suburban_train_and_bus         LIMIT 1,27.5
which region had the lowest share of people living near a train station or bus stop in 2013?,SELECT T2.name         FROM accessibility_train_and_bus AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T2.type_id = 4 AND T1.year = 2013         ORDER BY T1.access_by_suburban_train_and_bus         LIMIT 1,27.5
in 2013 how high is the share of the public transport in the traffic flows of people living in regensberg?,SELECT T1.public_transport_share_modal_split         FROM public_transport_share AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T2.name LIKE 'Regensberg' AND T1.year = 2013,13.0
how high is the part of the public transport in the movement of people in regensberg in 2013?,SELECT T1.public_transport_share_modal_split         FROM public_transport_share AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T2.name LIKE 'Regensberg' AND T1.year = 2013,13.0
