label;nb_visits;nb_hits;nb_hits_with_time_generation;min_time_generation;max_time_generation;sum_time_spent;bounce_count;exit_nb_visits;sum_daily_nb_uniq_visitors;avg_time_on_dimension;bounce_rate;exit_rate;avg_time_generation;Metadata: segment
wms-gewasserschutzkarte;2;3;3;1.327;3.455;143;0;0;2;48;0%;0%;1.157;dimension2==wms-gewasserschutzkarte
wms-haltestellen-des-offentlichen-verkehrs;2;2;2;5.073;5.073;27;0;1;2;14;0%;50%;2.537;dimension2==wms-haltestellen-des-offentlichen-verkehrs
wms-historische-gewasserkarte;2;3;3;1.39;2.946;68;0;0;2;23;0%;0%;0.988;dimension2==wms-historische-gewasserkarte
wms-offentliche-oberflachengewasser;2;5;3;1.598;1.628;1057;0;0;2;211;0%;0%;1.614;dimension2==wms-offentliche-oberflachengewasser
wms-oreb-kataster-offentlich-rechtliche-eigentumsbeschrankungen;2;2;1;0.006;0.006;9;0;1;2;5;0%;50%;0.006;dimension2==wms-oreb-kataster-offentlich-rechtliche-eigentumsbeschrankungen
6-und-mehr-personenhaushalte-anz;1;1;0;0;0;66;0;0;1;66;0%;0%;0;dimension2==6-und-mehr-personenhaushalte-anz
abflussprozesskarte;1;1;1;0.013;0.013;0;1;1;1;0;100%;100%;0.013;dimension2==abflussprozesskarte
altersquotient;1;1;1;1.904;1.904;0;0;1;1;0;0%;100%;1.904;dimension2==altersquotient
altpapiermengen-tonnen;1;1;1;1.895;1.895;0;1;1;1;0;100%;100%;1.895;dimension2==altpapiermengen-tonnen
amtliche-vermessung-einzelobjekte-dm01avzh24;1;1;1;0.004;0.004;36;0;0;1;36;0%;0%;0.004;dimension2==amtliche-vermessung-einzelobjekte-dm01avzh24
amtliche-vermessung-nomenklatur-dm01avzh24;1;1;1;0.011;0.011;0;0;1;1;0;0%;100%;0.011;dimension2==amtliche-vermessung-nomenklatur-dm01avzh24
anteil-der-jur-pers-am-steuerertrag;1;1;1;0.058;0.058;1404;0;0;1;1404;0%;0%;0.058;dimension2==anteil-der-jur-pers-am-steuerertrag
anteil-kirchgemeinden-am-steuerertrag;1;1;1;0.012;0.012;6;0;0;1;6;0%;0%;0.012;dimension2==anteil-kirchgemeinden-am-steuerertrag
anteil-siedlungsflache;1;1;1;1.43;1.43;0;1;1;1;0;100%;100%;1.43;dimension2==anteil-siedlungsflache
anteil-unproduktive-flache;1;1;1;2.904;2.904;0;1;1;1;0;100%;100%;2.904;dimension2==anteil-unproduktive-flache
arbeitsstatten-im-sekundarsektor-anz;1;1;1;2.047;2.047;16;0;0;1;16;0%;0%;2.047;dimension2==arbeitsstatten-im-sekundarsektor-anz
arten-der-feuchtgebietskartierung-1976-1977;1;1;1;1.494;1.494;40;0;0;1;40;0%;0%;1.494;dimension2==arten-der-feuchtgebietskartierung-1976-1977
baulandpreis-75-quantil-fr-m2;1;1;1;0.17;0.17;0;1;1;1;0;100%;100%;0.17;dimension2==baulandpreis-75-quantil-fr-m2
bevolkerung-heimat-ausland-pers;1;1;1;1.974;1.974;5;0;0;1;5;0%;0%;1.974;dimension2==bevolkerung-heimat-ausland-pers
bevolkerung-pers;1;1;1;0.052;0.052;0;0;1;1;0;0%;100%;0.052;dimension2==bevolkerung-pers
gebaudevolumen;1;1;1;1.947;1.947;3;0;0;1;3;0%;0%;1.947;dimension2==gebaudevolumen
gesamtaufwand-o-finanzen-u-steuern-fr-einw;1;1;1;2.385;2.385;0;0;1;1;0;0%;100%;2.385;dimension2==gesamtaufwand-o-finanzen-u-steuern-fr-einw
gewasser-haupteinzugsgebiete;1;1;1;1.365;1.365;29;0;0;1;29;0%;0%;1.365;dimension2==gewasser-haupteinzugsgebiete
heiraten-anz;1;1;1;1.844;1.844;3;0;0;1;3;0%;0%;1.844;dimension2==heiraten-anz
hotelbetten-pro-1000-einwohner-anz;1;1;1;1.683;1.683;0;0;0;1;0;0%;0%;1.683;dimension2==hotelbetten-pro-1000-einwohner-anz
hotels-anz;1;1;1;2.414;2.414;11;0;0;1;11;0%;0%;2.414;dimension2==hotels-anz
kapitaldienstanteil;1;1;1;1.757;1.757;0;1;1;1;0;100%;100%;1.757;dimension2==kapitaldienstanteil
kleine-betriebe-10-49-vza-anz;1;1;1;1.803;1.803;2;0;0;1;2;0%;0%;1.803;dimension2==kleine-betriebe-10-49-vza-anz
landwirtschaftsbetriebe-anz;1;1;1;1.877;1.877;0;1;1;1;0;100%;100%;1.877;dimension2==landwirtschaftsbetriebe-anz
modellierte-potenziale-fur-naturnahe-lebensraume-im-kanton-zurich;1;1;1;1.763;1.763;845;0;0;1;845;0%;0%;1.763;dimension2==modellierte-potenziale-fur-naturnahe-lebensraume-im-kanton-zurich
motorrader-pro-1000-einwohner-anz;1;1;1;1.861;1.861;0;1;1;1;0;100%;100%;1.861;dimension2==motorrader-pro-1000-einwohner-anz
nettoaufwand-finanzen-und-steuern-fr-einw;1;1;1;0.016;0.016;0;1;1;1;0;100%;100%;0.016;dimension2==nettoaufwand-finanzen-und-steuern-fr-einw
nettoinvestitionen-fr-einw;1;1;1;0.003;0.003;68;0;0;1;68;0%;0%;0.003;dimension2==nettoinvestitionen-fr-einw
o-eigenkapital-steuerpfl-jur-pers-1000-fr;1;1;1;1.893;1.893;0;1;1;1;0;100%;100%;1.893;dimension2==o-eigenkapital-steuerpfl-jur-pers-1000-fr
o-steuerbares-einkommen-naturliche-pers-fr;1;1;1;1.499;1.499;0;1;1;1;0;100%;100%;1.499;dimension2==o-steuerbares-einkommen-naturliche-pers-fr
okomorphologische-erhebung-der-fliessgewasser;1;1;1;1.84;1.84;21;0;0;1;21;0%;0%;1.84;dimension2==okomorphologische-erhebung-der-fliessgewasser
oreb-kataster-der-belasteten-standorte-kbs;1;1;1;1.812;1.812;8;0;0;1;8;0%;0%;1.812;dimension2==oreb-kataster-der-belasteten-standorte-kbs
orthofoto-sommer-infrarot-2014-15;1;1;1;2.482;2.482;0;1;1;1;0;100%;100%;2.482;dimension2==orthofoto-sommer-infrarot-2014-15
parke-von-nationaler-bedeutung-kanton-zurich;1;1;1;1.622;1.622;1;0;0;1;1;0%;0%;1.622;dimension2==parke-von-nationaler-bedeutung-kanton-zurich
relief-digitales-terrainmodell;1;1;1;1.716;1.716;3;0;0;1;3;0%;0%;1.716;dimension2==relief-digitales-terrainmodell
reptilien-inventar-des-kantons-zurich-1993;1;1;1;2.01;2.01;0;0;1;1;0;0%;100%;2.01;dimension2==reptilien-inventar-des-kantons-zurich-1993
schul-kindergarten-pro-1000-einw;1;1;0;0;0;6;0;0;1;6;0%;0%;0;dimension2==schul-kindergarten-pro-1000-einw
schul-mittelschule-pro-1000-einw;1;1;1;2.111;2.111;0;1;1;1;0;100%;100%;2.111;dimension2==schul-mittelschule-pro-1000-einw
schuler-sekundarstufe-ii-pers-pro-1000-einw;1;1;1;0.105;0.105;26;0;0;1;26;0%;0%;0.105;dimension2==schuler-sekundarstufe-ii-pers-pro-1000-einw
schutzverordnungen-uber-natur-und-landschaftsschutzgebiete-von-uberkommunaler-kt-reg-bedeutung-;1;2;2;0.023;0.042;15;0;1;1;8;0%;100%;0.033;dimension2==schutzverordnungen-uber-natur-und-landschaftsschutzgebiete-von-uberkommunaler-kt-reg-bedeutung-
steuerertrag-allgemeine-gemeindesteuern-mio-fr;1;1;1;4.763;4.763;0;1;1;1;0;100%;100%;4.763;dimension2==steuerertrag-allgemeine-gemeindesteuern-mio-fr
steuerertrag-von-juristischen-personen-mio-fr;1;1;1;2.011;2.011;0;0;1;1;0;0%;100%;2.011;dimension2==steuerertrag-von-juristischen-personen-mio-fr
total-geschaffene-stellen-beschaftigte-anz;1;1;1;2.054;2.054;16;0;0;1;16;0%;0%;2.054;dimension2==total-geschaffene-stellen-beschaftigte-anz
unfalle-pro-1000-einw;1;1;1;0.005;0.005;0;0;1;1;0;0%;100%;0.005;dimension2==unfalle-pro-1000-einw
unternehmensgrundungen-total-anz;1;1;1;1.766;1.766;0;1;1;1;0;100%;100%;1.766;dimension2==unternehmensgrundungen-total-anz
verkehrsmessstellen;1;1;1;1.444;1.444;14;0;0;1;14;0%;0%;1.444;dimension2==verkehrsmessstellen
waldentwicklungsplan;1;1;1;0.046;0.046;0;1;1;1;0;100%;100%;0.046;dimension2==waldentwicklungsplan
wasserpegel;1;1;1;1.37;1.37;99;0;0;1;99;0%;0%;1.37;dimension2==wasserpegel
wegzuge;1;1;1;2.259;2.259;0;0;1;1;0;0%;100%;2.259;dimension2==wegzuge
wfs-ausnahmetransportrouten;1;1;1;0.065;0.065;0;1;1;1;0;100%;100%;0.065;dimension2==wfs-ausnahmetransportrouten
wfs-baustellen-kantonsstrassen;1;1;1;0.008;0.008;220;0;0;1;220;0%;0%;0.008;dimension2==wfs-baustellen-kantonsstrassen
wfs-gewasser-okomorphologie;1;1;1;1.862;1.862;27;0;0;1;27;0%;0%;1.862;dimension2==wfs-gewasser-okomorphologie
wfs-rechtsgultige-gewasserraume;1;1;1;1.512;1.512;17;0;0;1;17;0%;0%;1.512;dimension2==wfs-rechtsgultige-gewasserraume
wfs-sportanlagen;1;1;1;1.415;1.415;8;0;0;1;8;0%;0%;1.415;dimension2==wfs-sportanlagen
wildtierkorridore;1;1;1;0.006;0.006;9;0;0;1;9;0%;0%;0.006;dimension2==wildtierkorridore
wms-abflussprozesskarte;1;1;1;1.521;1.521;0;1;1;1;0;100%;100%;1.521;dimension2==wms-abflussprozesskarte
wms-archaologische-zonen-und-denkmalschutzobjekte-ogd;1;1;1;1.783;1.783;161;0;0;1;161;0%;0%;1.783;dimension2==wms-archaologische-zonen-und-denkmalschutzobjekte-ogd
wms-inner-ausserorts-auf-kantonsstrasse;1;1;1;0.009;0.009;0;1;1;1;0;100%;100%;0.009;dimension2==wms-inner-ausserorts-auf-kantonsstrasse
wms-pflegeplan-naturschutz-teilflachen;1;1;1;0.055;0.055;0;0;1;1;0;0%;100%;0.055;dimension2==wms-pflegeplan-naturschutz-teilflachen
wms-signalisierte-geschwindigkeit-kantonsstrassen;1;1;1;1.736;1.736;0;1;1;1;0;100%;100%;1.736;dimension2==wms-signalisierte-geschwindigkeit-kantonsstrassen
wms-strassennetz-national-kantons-und-gemeindestrassen;1;1;1;1.18;1.18;5;0;0;1;5;0%;0%;1.18;dimension2==wms-strassennetz-national-kantons-und-gemeindestrassen
wms-warmenutzungsatlas;1;1;1;0.17;0.17;0;1;1;1;0;100%;100%;0.17;dimension2==wms-warmenutzungsatlas
wms-wildkarte-kanton-zurich;1;1;1;0.022;0.022;0;1;1;1;0;100%;100%;0.022;dimension2==wms-wildkarte-kanton-zurich
zahnarzte-anz;1;1;1;5.166;5.166;1;0;0;1;1;0%;0%;5.166;dimension2==zahnarzte-anz
zinsbelastungsanteil;1;1;1;4.197;4.197;0;1;1;1;0;100%;100%;4.197;dimension2==zinsbelastungsanteil
zl-bezugerquote-der-personen-ab-65-jahren;1;1;1;0.008;0.008;9;0;0;1;9;0%;0%;0.008;dimension2==zl-bezugerquote-der-personen-ab-65-jahren
