from,until,context_bool,context_cat,n_conf,perc_conf,sort
2020-07-16,2020-07-29,Eindeutig,Eigener Haushalt,39,12.6,1
2020-07-16,2020-07-29,Eindeutig,Im Haushalt von Freunden / Familie,12, 3.9,2
2020-07-16,2020-07-29,Eindeutig,Arbeitsplatz,12, 3.9,3
2020-07-16,2020-07-29,Eindeutig,Sekundarstufe II / Hochschule / Weiterbildungsstätte,0,0,4
2020-07-16,2020-07-29,Eindeutig,Obligatorische Schule,0,0,5
2020-07-16,2020-07-29,Eindeutig,Krippe,4, 1.3,6
2020-07-16,2020-07-29,Eindeutig,Armee / Zivilschutz,0,0,7
2020-07-16,2020-07-29,Eindeutig,Reise Ausland,25, 8.1,8
2020-07-16,2020-07-29,Eindeutig,Reise Schweiz,0,0,9
2020-07-16,2020-07-29,Eindeutig,Hotel oder andere Unterkunft,0,0,10
2020-07-16,2020-07-29,Eindeutig,Schul- oder Ferienlager,0,0,11
2020-07-16,2020-07-29,Eindeutig,Club / Bar,1,< 0.5,12
2020-07-16,2020-07-29,Eindeutig,Restaurant,4, 1.3,13
2020-07-16,2020-07-29,Eindeutig,Kino / Theater / Konzert,0,0,14
2020-07-16,2020-07-29,Eindeutig,Veranstaltung / Feier < 300 Pers.,0,0,15
2020-07-16,2020-07-29,Eindeutig,Religiöses / Beerdigungen,0,0,17
2020-07-16,2020-07-29,Eindeutig,Verein,2, 0.6,18
2020-07-16,2020-07-29,Eindeutig,Pflege- / Altersheim,4, 1.3,19
2020-07-16,2020-07-29,Eindeutig,Medizin. Einrichtung,0,0,20
2020-07-16,2020-07-29,Eindeutig,"Friseur, Massage o.ä.",0,0,21
2020-07-16,2020-07-29,Eindeutig,Sport in der Halle,1,< 0.5,22
2020-07-16,2020-07-29,Eindeutig,Sport im Freien,1,< 0.5,23
2020-07-16,2020-07-29,Eindeutig,Sonstige Freizeitaktivität drinnen,1,< 0.5,24
2020-07-16,2020-07-29,Eindeutig,Sonstige Freizeitaktivität draussen,0,0,25
2020-07-16,2020-07-29,Eindeutig,Einkaufen (Läden/Markt),0,0,26
2020-07-16,2020-07-29,Eindeutig,Sonstige,0,0,27
2020-07-16,2020-07-29,Eindeutig,Ohne Angabe,0,0,28
2020-07-09,2020-07-22,Nicht eindeutig,,194,65.1,0
2020-07-09,2020-07-22,Eindeutig,Eigener Haushalt,29, 9.7,1
2020-07-09,2020-07-22,Eindeutig,Im Haushalt von Freunden / Familie,11, 3.7,2
2020-07-09,2020-07-22,Eindeutig,Arbeitsplatz,16, 5.4,3
2020-07-09,2020-07-22,Eindeutig,Sekundarstufe II / Hochschule / Weiterbildungsstätte,1,< 0.5,4
2020-07-09,2020-07-22,Eindeutig,Obligatorische Schule,1,< 0.5,5
2020-07-09,2020-07-22,Eindeutig,Krippe,5, 1.7,6
2020-07-09,2020-07-22,Eindeutig,Armee / Zivilschutz,0,0,7
2020-07-09,2020-07-22,Eindeutig,Reise Ausland,33,11.1,8
2020-07-09,2020-07-22,Eindeutig,Reise Schweiz,0,0,9
2020-07-09,2020-07-22,Eindeutig,Hotel oder andere Unterkunft,1,< 0.5,10
2020-07-09,2020-07-22,Eindeutig,Schul- oder Ferienlager,0,0,11
2020-07-09,2020-07-22,Eindeutig,Club / Bar,1,< 0.5,12
2020-07-09,2020-07-22,Eindeutig,Restaurant,1,< 0.5,13
2020-07-09,2020-07-22,Eindeutig,Kino / Theater / Konzert,0,0,14
2020-07-09,2020-07-22,Eindeutig,Veranstaltung / Feier < 300 Pers.,0,0,15
2020-07-09,2020-07-22,Eindeutig,Religiöses / Beerdigungen,0,0,17
2020-07-09,2020-07-22,Eindeutig,Verein,2, 0.7,18
2020-07-09,2020-07-22,Eindeutig,Pflege- / Altersheim,1,< 0.5,19
2020-07-09,2020-07-22,Eindeutig,Medizin. Einrichtung,0,0,20
2020-07-09,2020-07-22,Eindeutig,"Friseur, Massage o.ä.",0,0,21
2020-07-09,2020-07-22,Eindeutig,Sport in der Halle,0,0,22
2020-07-09,2020-07-22,Eindeutig,Sport im Freien,1,< 0.5,23
2020-07-09,2020-07-22,Eindeutig,Sonstige Freizeitaktivität drinnen,1,< 0.5,24
2020-07-09,2020-07-22,Eindeutig,Sonstige Freizeitaktivität draussen,0,0,25
2020-07-09,2020-07-22,Eindeutig,Einkaufen (Läden/Markt),0,0,26
2020-07-09,2020-07-22,Eindeutig,Sonstige,0,0,27
2020-07-09,2020-07-22,Eindeutig,Ohne Angabe,0,0,28
2020-07-02,2020-07-15,Nicht eindeutig,,208,70.5,0
2020-07-02,2020-07-15,Eindeutig,Eigener Haushalt,11, 3.7,1
2020-07-02,2020-07-15,Eindeutig,Im Haushalt von Freunden / Familie,4, 1.4,2
2020-07-02,2020-07-15,Eindeutig,Arbeitsplatz,11, 3.7,3
2020-07-02,2020-07-15,Eindeutig,Sekundarstufe II / Hochschule / Weiterbildungsstätte,1,< 0.5,4
2020-07-02,2020-07-15,Eindeutig,Obligatorische Schule,1,< 0.5,5
2020-07-02,2020-07-15,Eindeutig,Krippe,1,< 0.5,6
2020-07-02,2020-07-15,Eindeutig,Armee / Zivilschutz,0,0,7
2020-07-02,2020-07-15,Eindeutig,Reise Ausland,54,18.3,8
2020-07-02,2020-07-15,Eindeutig,Reise Schweiz,0,0,9
2020-07-02,2020-07-15,Eindeutig,Hotel oder andere Unterkunft,1,< 0.5,10
2020-07-02,2020-07-15,Eindeutig,Schul- oder Ferienlager,0,0,11
2020-07-02,2020-07-15,Eindeutig,Club / Bar,0,0,12
2020-07-02,2020-07-15,Eindeutig,Restaurant,0,0,13
2020-07-02,2020-07-15,Eindeutig,Kino / Theater / Konzert,0,0,14
2020-07-02,2020-07-15,Eindeutig,Veranstaltung / Feier < 300 Pers.,0,0,15
2020-07-02,2020-07-15,Eindeutig,Religiöses / Beerdigungen,0,0,17
2020-07-02,2020-07-15,Eindeutig,Verein,0,0,18
2020-07-02,2020-07-15,Eindeutig,Pflege- / Altersheim,1,< 0.5,19
2020-07-02,2020-07-15,Eindeutig,Medizin. Einrichtung,0,0,20
2020-07-02,2020-07-15,Eindeutig,"Friseur, Massage o.ä.",0,0,21
2020-07-02,2020-07-15,Eindeutig,Sport in der Halle,0,0,22
2020-07-02,2020-07-15,Eindeutig,Sport im Freien,1,< 0.5,23
2020-07-02,2020-07-15,Eindeutig,Sonstige Freizeitaktivität drinnen,1,< 0.5,24
2020-07-02,2020-07-15,Eindeutig,Sonstige Freizeitaktivität draussen,0,0,25
2020-07-02,2020-07-15,Eindeutig,Einkaufen (Läden/Markt),0,0,26
2020-07-02,2020-07-15,Eindeutig,Sonstige,0,0,27
2020-07-02,2020-07-15,Eindeutig,Ohne Angabe,0,0,28
2020-06-25,2020-07-08,Nicht eindeutig,,221,73.7,0
2020-06-25,2020-07-08,Eindeutig,Eigener Haushalt,0,0,1
2020-06-25,2020-07-08,Eindeutig,Im Haushalt von Freunden / Familie,0,0,2
2020-06-25,2020-07-08,Eindeutig,Arbeitsplatz,0,0,3
2020-06-25,2020-07-08,Eindeutig,Sekundarstufe II / Hochschule / Weiterbildungsstätte,0,0,4
2020-06-25,2020-07-08,Eindeutig,Obligatorische Schule,0,0,5
2020-06-25,2020-07-08,Eindeutig,Krippe,0,0,6
2020-06-25,2020-07-08,Eindeutig,Armee / Zivilschutz,0,0,7
2020-06-25,2020-07-08,Eindeutig,Reise Ausland,79,26.3,8
2020-06-25,2020-07-08,Eindeutig,Reise Schweiz,0,0,9
2020-06-25,2020-07-08,Eindeutig,Hotel oder andere Unterkunft,0,0,10
2020-06-25,2020-07-08,Eindeutig,Schul- oder Ferienlager,0,0,11
2020-06-25,2020-07-08,Eindeutig,Club / Bar,0,0,12
2020-06-25,2020-07-08,Eindeutig,Restaurant,0,0,13
2020-06-25,2020-07-08,Eindeutig,Kino / Theater / Konzert,0,0,14
2020-06-25,2020-07-08,Eindeutig,Veranstaltung / Feier < 300 Pers.,0,0,15
2020-06-25,2020-07-08,Eindeutig,Religiöses / Beerdigungen,0,0,17
2020-06-25,2020-07-08,Eindeutig,Verein,0,0,18
2020-06-25,2020-07-08,Eindeutig,Pflege- / Altersheim,0,0,19
2020-06-25,2020-07-08,Eindeutig,Medizin. Einrichtung,0,0,20
2020-06-25,2020-07-08,Eindeutig,"Friseur, Massage o.ä.",0,0,21
2020-06-25,2020-07-08,Eindeutig,Sport in der Halle,0,0,22
2020-06-25,2020-07-08,Eindeutig,Sport im Freien,0,0,23
2020-06-25,2020-07-08,Eindeutig,Sonstige Freizeitaktivität drinnen,0,0,24
2020-06-25,2020-07-08,Eindeutig,Sonstige Freizeitaktivität draussen,0,0,25
2020-06-25,2020-07-08,Eindeutig,Einkaufen (Läden/Markt),0,0,26
2020-06-25,2020-07-08,Eindeutig,Sonstige,0,0,27
2020-06-25,2020-07-08,Eindeutig,Ohne Angabe,0,0,28
2020-06-18,2020-07-01,Nicht eindeutig,,136,70.1,0
2020-06-18,2020-07-01,Eindeutig,Eigener Haushalt,0,0,1
2020-06-18,2020-07-01,Eindeutig,Im Haushalt von Freunden / Familie,0,0,2
2020-06-18,2020-07-01,Eindeutig,Arbeitsplatz,0,0,3
2020-06-18,2020-07-01,Eindeutig,Sekundarstufe II / Hochschule / Weiterbildungsstätte,0,0,4
2020-06-18,2020-07-01,Eindeutig,Obligatorische Schule,0,0,5
2020-06-18,2020-07-01,Eindeutig,Krippe,0,0,6
2020-06-18,2020-07-01,Eindeutig,Armee / Zivilschutz,0,0,7
2020-06-18,2020-07-01,Eindeutig,Reise Ausland,58,29.9,8
2020-06-18,2020-07-01,Eindeutig,Reise Schweiz,0,0,9
2020-06-18,2020-07-01,Eindeutig,Hotel oder andere Unterkunft,0,0,10
2020-06-18,2020-07-01,Eindeutig,Schul- oder Ferienlager,0,0,11
2020-06-18,2020-07-01,Eindeutig,Club / Bar,0,0,12
2020-06-18,2020-07-01,Eindeutig,Restaurant,0,0,13
2020-06-18,2020-07-01,Eindeutig,Kino / Theater / Konzert,0,0,14
2020-06-18,2020-07-01,Eindeutig,Veranstaltung / Feier < 300 Pers.,0,0,15
2020-06-18,2020-07-01,Eindeutig,Religiöses / Beerdigungen,0,0,17
2020-06-18,2020-07-01,Eindeutig,Verein,0,0,18
2020-06-18,2020-07-01,Eindeutig,Pflege- / Altersheim,0,0,19
2020-06-18,2020-07-01,Eindeutig,Medizin. Einrichtung,0,0,20
2020-06-18,2020-07-01,Eindeutig,"Friseur, Massage o.ä.",0,0,21
2020-06-18,2020-07-01,Eindeutig,Sport in der Halle,0,0,22
2020-06-18,2020-07-01,Eindeutig,Sport im Freien,0,0,23
2020-06-18,2020-07-01,Eindeutig,Sonstige Freizeitaktivität drinnen,0,0,24
2020-06-18,2020-07-01,Eindeutig,Sonstige Freizeitaktivität draussen,0,0,25
2020-06-18,2020-07-01,Eindeutig,Einkaufen (Läden/Markt),0,0,26
2020-06-18,2020-07-01,Eindeutig,Sonstige,0,0,27
2020-06-18,2020-07-01,Eindeutig,Ohne Angabe,0,0,28
2020-06-11,2020-06-24,Nicht eindeutig,,49,64.5,0
2020-06-11,2020-06-24,Eindeutig,Eigener Haushalt,0,0,1
2020-06-11,2020-06-24,Eindeutig,Im Haushalt von Freunden / Familie,0,0,2
2020-06-11,2020-06-24,Eindeutig,Arbeitsplatz,0,0,3
2020-06-11,2020-06-24,Eindeutig,Sekundarstufe II / Hochschule / Weiterbildungsstätte,0,0,4
2020-06-11,2020-06-24,Eindeutig,Obligatorische Schule,0,0,5
2020-06-11,2020-06-24,Eindeutig,Krippe,0,0,6
2020-06-11,2020-06-24,Eindeutig,Armee / Zivilschutz,0,0,7
2020-06-11,2020-06-24,Eindeutig,Reise Ausland,27,35.5,8
2020-06-11,2020-06-24,Eindeutig,Reise Schweiz,0,0,9
2020-06-11,2020-06-24,Eindeutig,Hotel oder andere Unterkunft,0,0,10
2020-06-11,2020-06-24,Eindeutig,Schul- oder Ferienlager,0,0,11
2020-06-11,2020-06-24,Eindeutig,Club / Bar,0,0,12
2020-06-11,2020-06-24,Eindeutig,Restaurant,0,0,13
2020-06-11,2020-06-24,Eindeutig,Kino / Theater / Konzert,0,0,14
2020-06-11,2020-06-24,Eindeutig,Veranstaltung / Feier < 300 Pers.,0,0,15
2020-06-11,2020-06-24,Eindeutig,Religiöses / Beerdigungen,0,0,17
2020-06-11,2020-06-24,Eindeutig,Verein,0,0,18
2020-06-11,2020-06-24,Eindeutig,Pflege- / Altersheim,0,0,19
2020-06-11,2020-06-24,Eindeutig,Medizin. Einrichtung,0,0,20
2020-06-11,2020-06-24,Eindeutig,"Friseur, Massage o.ä.",0,0,21
2020-06-11,2020-06-24,Eindeutig,Sport in der Halle,0,0,22
2020-06-11,2020-06-24,Eindeutig,Sport im Freien,0,0,23
2020-06-11,2020-06-24,Eindeutig,Sonstige Freizeitaktivität drinnen,0,0,24
2020-06-11,2020-06-24,Eindeutig,Sonstige Freizeitaktivität draussen,0,0,25
2020-06-11,2020-06-24,Eindeutig,Einkaufen (Läden/Markt),0,0,26
2020-06-11,2020-06-24,Eindeutig,Sonstige,0,0,27
2020-06-11,2020-06-24,Eindeutig,Ohne Angabe,0,0,28
2020-06-04,2020-06-17,Nicht eindeutig,,34,66.7,0
2020-06-04,2020-06-17,Eindeutig,Eigener Haushalt,0,0,1
2020-06-04,2020-06-17,Eindeutig,Im Haushalt von Freunden / Familie,0,0,2
2020-06-04,2020-06-17,Eindeutig,Arbeitsplatz,0,0,3
2020-06-04,2020-06-17,Eindeutig,Sekundarstufe II / Hochschule / Weiterbildungsstätte,0,0,4
2020-06-04,2020-06-17,Eindeutig,Obligatorische Schule,0,0,5
2020-06-04,2020-06-17,Eindeutig,Krippe,0,0,6
2020-06-04,2020-06-17,Eindeutig,Armee / Zivilschutz,0,0,7
2020-06-04,2020-06-17,Eindeutig,Reise Ausland,17,33.3,8
2020-06-04,2020-06-17,Eindeutig,Reise Schweiz,0,0,9
2020-06-04,2020-06-17,Eindeutig,Hotel oder andere Unterkunft,0,0,10
2020-06-04,2020-06-17,Eindeutig,Schul- oder Ferienlager,0,0,11
2020-06-04,2020-06-17,Eindeutig,Club / Bar,0,0,12
2020-06-04,2020-06-17,Eindeutig,Restaurant,0,0,13
2020-06-04,2020-06-17,Eindeutig,Kino / Theater / Konzert,0,0,14
2020-06-04,2020-06-17,Eindeutig,Veranstaltung / Feier < 300 Pers.,0,0,15
2020-06-04,2020-06-17,Eindeutig,Religiöses / Beerdigungen,0,0,17
2020-06-04,2020-06-17,Eindeutig,Verein,0,0,18
2020-06-04,2020-06-17,Eindeutig,Pflege- / Altersheim,0,0,19
2020-06-04,2020-06-17,Eindeutig,Medizin. Einrichtung,0,0,20
2020-06-04,2020-06-17,Eindeutig,"Friseur, Massage o.ä.",0,0,21
2020-06-04,2020-06-17,Eindeutig,Sport in der Halle,0,0,22
2020-06-04,2020-06-17,Eindeutig,Sport im Freien,0,0,23
2020-06-04,2020-06-17,Eindeutig,Sonstige Freizeitaktivität drinnen,0,0,24
2020-06-04,2020-06-17,Eindeutig,Sonstige Freizeitaktivität draussen,0,0,25
2020-06-04,2020-06-17,Eindeutig,Einkaufen (Läden/Markt),0,0,26
2020-06-04,2020-06-17,Eindeutig,Sonstige,0,0,27
2020-06-04,2020-06-17,Eindeutig,Ohne Angabe,0,0,28
2020-05-28,2020-06-10,Nicht eindeutig,,29,72.5,0
2020-05-28,2020-06-10,Eindeutig,Eigener Haushalt,0,0,1
2020-05-28,2020-06-10,Eindeutig,Im Haushalt von Freunden / Familie,0,0,2
2020-05-28,2020-06-10,Eindeutig,Arbeitsplatz,0,0,3
2020-05-28,2020-06-10,Eindeutig,Sekundarstufe II / Hochschule / Weiterbildungsstätte,0,0,4
2020-05-28,2020-06-10,Eindeutig,Obligatorische Schule,0,0,5
2020-05-28,2020-06-10,Eindeutig,Krippe,0,0,6
2020-05-28,2020-06-10,Eindeutig,Armee / Zivilschutz,0,0,7
2020-05-28,2020-06-10,Eindeutig,Reise Ausland,11,27.5,8
2020-05-28,2020-06-10,Eindeutig,Reise Schweiz,0,0,9
2020-05-28,2020-06-10,Eindeutig,Hotel oder andere Unterkunft,0,0,10
2020-05-28,2020-06-10,Eindeutig,Schul- oder Ferienlager,0,0,11
2020-05-28,2020-06-10,Eindeutig,Club / Bar,0,0,12
2020-05-28,2020-06-10,Eindeutig,Restaurant,0,0,13
2020-05-28,2020-06-10,Eindeutig,Kino / Theater / Konzert,0,0,14
2020-05-28,2020-06-10,Eindeutig,Veranstaltung / Feier < 300 Pers.,0,0,15
2020-05-28,2020-06-10,Eindeutig,Religiöses / Beerdigungen,0,0,17
2020-05-28,2020-06-10,Eindeutig,Verein,0,0,18
2020-05-28,2020-06-10,Eindeutig,Pflege- / Altersheim,0,0,19
2020-05-28,2020-06-10,Eindeutig,Medizin. Einrichtung,0,0,20
2020-05-28,2020-06-10,Eindeutig,"Friseur, Massage o.ä.",0,0,21
2020-05-28,2020-06-10,Eindeutig,Sport in der Halle,0,0,22
2020-05-28,2020-06-10,Eindeutig,Sport im Freien,0,0,23
2020-05-28,2020-06-10,Eindeutig,Sonstige Freizeitaktivität drinnen,0,0,24
2020-05-28,2020-06-10,Eindeutig,Sonstige Freizeitaktivität draussen,0,0,25
2020-05-28,2020-06-10,Eindeutig,Einkaufen (Läden/Markt),0,0,26
2020-05-28,2020-06-10,Eindeutig,Sonstige,0,0,27
2020-05-28,2020-06-10,Eindeutig,Ohne Angabe,0,0,28
2020-05-21,2020-06-03,Nicht eindeutig,,25,62.5,0
2020-05-21,2020-06-03,Eindeutig,Eigener Haushalt,0,0,1
2020-05-21,2020-06-03,Eindeutig,Im Haushalt von Freunden / Familie,0,0,2
2020-05-21,2020-06-03,Eindeutig,Arbeitsplatz,0,0,3
2020-05-21,2020-06-03,Eindeutig,Sekundarstufe II / Hochschule / Weiterbildungsstätte,0,0,4
2020-05-21,2020-06-03,Eindeutig,Obligatorische Schule,0,0,5
2020-05-21,2020-06-03,Eindeutig,Krippe,0,0,6
2020-05-21,2020-06-03,Eindeutig,Armee / Zivilschutz,0,0,7
2020-05-21,2020-06-03,Eindeutig,Reise Ausland,15,37.5,8
2020-05-21,2020-06-03,Eindeutig,Reise Schweiz,0,0,9
2020-05-21,2020-06-03,Eindeutig,Hotel oder andere Unterkunft,0,0,10
2020-05-21,2020-06-03,Eindeutig,Schul- oder Ferienlager,0,0,11
2020-05-21,2020-06-03,Eindeutig,Club / Bar,0,0,12
2020-05-21,2020-06-03,Eindeutig,Restaurant,0,0,13
2020-05-21,2020-06-03,Eindeutig,Kino / Theater / Konzert,0,0,14
2020-05-21,2020-06-03,Eindeutig,Veranstaltung / Feier < 300 Pers.,0,0,15
2020-05-21,2020-06-03,Eindeutig,Religiöses / Beerdigungen,0,0,17
2020-05-21,2020-06-03,Eindeutig,Verein,0,0,18
2020-05-21,2020-06-03,Eindeutig,Pflege- / Altersheim,0,0,19
2020-05-21,2020-06-03,Eindeutig,Medizin. Einrichtung,0,0,20
2020-05-21,2020-06-03,Eindeutig,"Friseur, Massage o.ä.",0,0,21
2020-05-21,2020-06-03,Eindeutig,Sport in der Halle,0,0,22
2020-05-21,2020-06-03,Eindeutig,Sport im Freien,0,0,23
2020-05-21,2020-06-03,Eindeutig,Sonstige Freizeitaktivität drinnen,0,0,24
2020-05-21,2020-06-03,Eindeutig,Sonstige Freizeitaktivität draussen,0,0,25
2020-05-21,2020-06-03,Eindeutig,Einkaufen (Läden/Markt),0,0,26
2020-05-21,2020-06-03,Eindeutig,Sonstige,0,0,27
2020-05-21,2020-06-03,Eindeutig,Ohne Angabe,0,0,28
2020-05-14,2020-05-27,Nicht eindeutig,,23,59.0,0
2020-05-14,2020-05-27,Eindeutig,Eigener Haushalt,0,0,1
2020-05-14,2020-05-27,Eindeutig,Im Haushalt von Freunden / Familie,0,0,2
2020-05-14,2020-05-27,Eindeutig,Arbeitsplatz,0,0,3
2020-05-14,2020-05-27,Eindeutig,Sekundarstufe II / Hochschule / Weiterbildungsstätte,0,0,4
2020-05-14,2020-05-27,Eindeutig,Obligatorische Schule,0,0,5
2020-05-14,2020-05-27,Eindeutig,Krippe,0,0,6
2020-05-14,2020-05-27,Eindeutig,Armee / Zivilschutz,0,0,7
2020-05-14,2020-05-27,Eindeutig,Reise Ausland,16,41.0,8
2020-05-14,2020-05-27,Eindeutig,Reise Schweiz,0,0,9
2020-05-14,2020-05-27,Eindeutig,Hotel oder andere Unterkunft,0,0,10
2020-05-14,2020-05-27,Eindeutig,Schul- oder Ferienlager,0,0,11
2020-05-14,2020-05-27,Eindeutig,Club / Bar,0,0,12
2020-05-14,2020-05-27,Eindeutig,Restaurant,0,0,13
2020-05-14,2020-05-27,Eindeutig,Kino / Theater / Konzert,0,0,14
2020-05-14,2020-05-27,Eindeutig,Veranstaltung / Feier < 300 Pers.,0,0,15
2020-05-14,2020-05-27,Eindeutig,Religiöses / Beerdigungen,0,0,17
2020-05-14,2020-05-27,Eindeutig,Verein,0,0,18
2020-05-14,2020-05-27,Eindeutig,Pflege- / Altersheim,0,0,19
2020-05-14,2020-05-27,Eindeutig,Medizin. Einrichtung,0,0,20
2020-05-14,2020-05-27,Eindeutig,"Friseur, Massage o.ä.",0,0,21
2020-05-14,2020-05-27,Eindeutig,Sport in der Halle,0,0,22
2020-05-14,2020-05-27,Eindeutig,Sport im Freien,0,0,23
2020-05-14,2020-05-27,Eindeutig,Sonstige Freizeitaktivität drinnen,0,0,24
2020-05-14,2020-05-27,Eindeutig,Sonstige Freizeitaktivität draussen,0,0,25
2020-05-14,2020-05-27,Eindeutig,Einkaufen (Läden/Markt),0,0,26
2020-05-14,2020-05-27,Eindeutig,Sonstige,0,0,27
2020-05-14,2020-05-27,Eindeutig,Ohne Angabe,0,0,28
